Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.36954514,2.415139854,2.36369537,2.446634639,2.648242797,2.952292962,3.451382904,3.793763967,3.837273585,3.38591988,2.966035577,2.763151709,2.685620605,2.379346796,2.262802699,2.267315593,2.216612107,2.247202208,2.21568857,2.192729371,2.248956904,2.296601945,2.393265216,2.519811819,2.505233651,2.523268379,2.540429752,2.372988832,2.161814883,2.051827509,2.07590586,2.168042858,2.16874608,2.178029886,2.116598589,2.021312568,1.930440067,1.867334395,1.871121813,1.889235741,1.829841913,1.870093879,1.873964621,1.846289689,1.827410769,1.80249268,1.822330926,1.815342245,1.798547172,1.926908956,1.856791362,1.757078228,1.671015795,1.639720581,1.772233857,1.951027863,2.083689225,1.997577266,1.890622246,1.879743267,2.063042777
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.458185699,1.309337523,1.352071859,1.579667758,1.887300243,1.507213387,1.624405132,1.609166416,1.542674749,1.499256567,1.380130121,1.246106954,1.202286665,1.184988573,1.276882519,1.451278364,1.365196811,1.345951891,1.429212612,1.433845732,1.420246106,1.380051733,1.41299673,1.391175884,1.414158336,1.512623567,1.508758541,1.416677903,1.299181144,1.234154925,1.195660267,1.154217118,1.099214072,1.115584541,1.094453076,1.073232052,1.049682977,1.046433982,1.018072863,0.980246123,0.98031858,0.908240041,0.883527837,0.913640319,0.893480466,0.850142574,0.785813244,0.900457173,0.870705123,0.833379565,0.821232712,0.790897558,0.778464251,0.750825383,0.747780095,0.698138152,0.729737692,0.757321291,0.744858294,0.72740941,0.836613874
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.400225621,5.000467786,1.94658459,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.24331377,2.426362555,2.629481138,2.299069675,3.417759333,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658618252,4.54092331,4.555013124,5.464876793,3.688527303,3.756301732,3.562401234,3.873411703,5.390494994
Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,3.943793911,0.434782609,0.445620494,1.352337005,1.382287925,1.332606884,1.414223331,1.754491378,,1.032408654,1.458670989,1.946212277,2.225082751,2.056807052,2.2236012,2.533381742,2.796373652,2.643715301,2.918803369,3.030330243,3.50702489,3.104808926,2.975400785,2.751172646,2.805413158,2.649139912,3.145245149,3.349522133,3.448712473,3.786270865,3.595637948,3.72027582,3.921111198,4.209072899,5.856884919,6.359652961,6.572272507,6.257643657,4.862402213,6.071737158,5.441678859,5.533435389,4.903266843,4.436190041,3.511718452,3.414595248,2.720890527,,,,2.527177708,2.367638193,2.119090371,2.201862734,2.115625208,1.870652158,1.882161447,2.497152014,1.97921599
Belgium,BEL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.397347867,3.259070074,3.284752167,3.216630963,3.213471659,2.973063602,3.112586029,3.134581624,3.115090011,2.931814996,2.918640097,2.898925919,2.880760041,2.835311133,2.761416188,3.065034539,3.093369534,3.143248647,3.261522061,3.261345018,3.250195386,3.366049436,3.269944591,3.19141317,3.007902449,2.931233854,2.953772624,2.901794793,2.628748416,2.460854324,2.355440459,2.287692847,1.83233253,1.735965893,1.67714315,1.565752151,1.540102651,1.476975796,1.463919265,1.385835559,1.341210276,1.276504166,1.215712208,1.214988156,1.149272139,1.091560058,1.051239186,1.094535301,1.213898317,1.160039922,1.084632861,1.043506795,1.04175649,1.008959479,0.970959791,0.909284202,0.894706236,0.883680595,0.890644486,0.89304295,1.080842257
Benin,BEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.871584699,1.395287958,1.751633987,1.736842105,2.18169901,2.106508876,1.900232597,1.976252106,2.072124756,1.894736842,1.625281519,1.601042034,1.487794309,1.67752809,1.442379182,1.492907801,1.28164794,1.678787879,1.194306931,1.930460034,2.031651419,1.551371319,1.04929865,1.188970677,1.45869894,1.304931932,1.35509654,1.5695985,1.564091205,1.307896061,1.225157121,,,,,,,,,0.48538923,0.412852302,0.357971127,0.622819458,0.647223227,0.67614985,0.680970685,0.665723324,,0.66395898,,,,0.702056158,0.687239683,0.700924949,0.798484705,0.673596727,0.920613124,0.63285754,0.472934841,0.470634917
Burkina Faso,BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.682017544,0.83436853,2.345703125,2.38305709,2.60515873,1.524822695,1.649484536,1.325072886,1.178481013,1.246722288,1.172239108,1.177165354,1.139853748,1.235186873,1.151908397,2.811183733,3.123828648,3.043266631,3.283146067,2.698613861,2.746691176,2.842689698,3.003303634,2.932183416,3.017167437,1.836525411,2.621893491,2.252586462,2.310812644,2.740774077,2.704892966,2.166869267,2.049651568,1.862529885,1.422884729,1.383042694,1.28708847,1.417055045,1.27636264,1.385531386,1.392162753,1.299789896,1.324409972,1.207283348,1.357968367,1.351394486,1.249086676,1.592267582,1.397903771,1.521454726,1.377516262,1.294759503,1.323023735,1.390102776,1.431285455,1.419815231,1.375362376,1.556273179,2.165041746,2.606037509,2.733953813
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,0.656720537,0.604303492,0.844783331,1.523678975,1.569977813,1.268985181,0.934292961,0.857420859,0.915831691,1.060869685,1.270673712,1.17804196,1.054272784,1.112191676,1.168232539,1.246388097,1.290861801,1.223165026,1.214422802,1.36050315,1.429390515,1.529023664,1.566693141,1.539073594,1.571667926,1.567535198,1.584834391,1.357119181,1.288422776,1.185764388,1.138286942,1.123505863,1.09089437,1.108238774,1.114480186,1.059529893,1.156730939,1.320837396,1.355517777,1.324419491,1.258197522,1.279412463,1.350969947,1.372321482,1.240256126,1.263999785,1.348906693,1.301862862
Bulgaria,BGR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39627075,3.83344349,3.043231573,2.972633843,2.609271612,2.492617286,2.374131284,2.402934109,2.430701355,2.453059147,2.645171956,2.671170465,2.884461387,2.80125965,2.712020749,2.391993484,2.252898222,2.096991297,2.229611261,2.133524802,1.739511524,1.652468225,1.320717319,1.33635532,1.459340112,1.313704521,1.248848117,1.246707289,1.226243678,1.451568367,3.148475544,1.82470414
Bahrain,BHR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,1.526179854,1.75228724,2.077922078,4.958131335,5.892751915,5.698891307,6.902581566,8.535161949,4.790336018,4.179305696,4.588158182,5.837762481,5.253253881,5.603045758,5.644661664,5.284791544,5.703750648,5.878071992,5.369855167,5.111302188,5.18323179,5.273939764,5.068487413,5.333103953,5.503621544,3.961670969,4.148081632,4.611106606,4.658832803,4.044928848,3.214381095,3.102947728,2.956990234,2.800161369,3.61053525,3.277755942,3.591497227,3.844573702,4.141451788,4.418589461,4.632877365,4.671440867,4.33877531,4.07429483,4.055054417,4.074397375
"Bahamas, The",BHS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.904372905,2.41669769,1.889602808,1.544219658,1.386533488,1.236152863,1.220612,1.376586159,1.280341444,1.136430264,1.145571921,1.087055798,1.025826887,1.000613746,0.933900815,0.864182658,0.852548557,0.8200662,0.875244991
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.622498648,2.790971461,3.621608255,1.699463769,1.26069256,1.768966551,1.495098702,1.366760738,1.346984151,1.438290747,1.400245801,1.2990639,1.358222314,1.498453135,1.709412492,1.649765914,1.453492852,1.372576981,1.341383433,1.22449511,1.229218722,1.270796652,1.26884247,1.257482359,1.253515045,1.146289015,1.182261729,1.226168363,1.25428103
Belize,BLZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,1.158969928,1.437587169,1.534381036,1.543918919,1.559825996,,,,1.199332232,1.176307351,1.094053398,1.021547148,1.095492316,1.36043658,1.298850806,1.242144862,1.435666259,,,0.855252088,0.855039571,0.839626562,0.863555814,0.896738668,0.961314172,1.008915151,1.066140405,1.367605852,1.310816767,1.113671387,1.055329118,0.999351704,1.125663091,1.197789504,1.143856161,1.223192232,1.255364915,1.294665671,1.331671046,1.574830602
Bermuda,BMU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,1.203463986,1.158699993,1.326412016,,,,,1.350152185,1.318224897,1.61221645,1.391585766,1.595541894,1.622636209,1.836654098,2.371237115,2.367156575,2.247499441,2.598970098,2.708461078,3.172399893,3.902203322,1.9818473,1.499320703,2.170841736,2.013992525,2.345549228,2.377263176,2.02098132,2.1562887,2.815883319,2.688324857,2.506118833,1.91634981,2.250301234,2.096162258,1.986807543,2.273610301,2.69111086,2.133287095,2.062971201,2.264906498,2.029451875,2.145792545,1.924982155,1.772543032,1.567656118,1.686580784,1.96227205,1.994105729,1.666248801,1.684120002,1.845594675,1.840906756,1.89684061,1.743839017,1.627932972,1.536277694,1.536596285,1.463637574,1.57351874
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.679134726,2.364066194,2.398683307,2.260839182,2.014498091,3.352092157,3.021981632,2.856972008,2.649740158,2.615590006,2.887289557,2.619046859,2.43581199,2.154651306,1.941353411,1.972143796,2.002753365,1.687726478,1.59967155,1.521931686,1.138434421,1.143148768,1.303534361,1.254580323,1.199541045,1.429523122,1.220388728,1.743994031,2.118072205,2.68625,2.363841025,1.963333333,1.521528861,1.927922815,2.016007789,1.86213698,1.6548435,1.577688316,1.66229192,1.645474667,1.730726147,1.951882445,1.895771199,1.503477636,1.461268409,1.524013393,1.481084895,1.4662921,1.441924093,1.538625697,1.539406981,1.411851159,1.378656465,1.329446084,1.330244423,1.365517154,1.347975413,1.414485611,1.494203353,1.407988516,1.439168226
Barbados,BRB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.574084402,2.88778814,4.670729808,3.792514955,6.6299771,6.21043627,6.437735269,6.404350125,6.245144781,5.740231735,5.982471359,5.477265965,6.249493831,7.183964552,7.529843893,6.130418352,4.06920549,3.886397608,3.870782758,3.711419618,2.532730088,2.349427638,2.303963195,2.380152244,2.261792369,2.941072032,2.850487901,2.24224142,2.159034489,2.277507595,3.086860958,3.279290461,3.539384699,2.865169907,2.636612485,3.078642143,4.080878304
Bhutan,BTN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,1.356572569,2.874909003,3.501499383,3.207620529,2.978298115,2.69474386,2.326337698,2.437270832,2.184731489,2.663595803,4.794414575,4.899677023,3.56901008,4.445158035,4.603469927,4.482809049,4.933491973,4.008120396,3.506479719,2.899521498,3.197204627,3.779398844,3.092073755,3.191242951,3.831223033,4.11020649,4.007366589,3.505874041,2.858004185,2.695121374,2.801455193,3.036968238,3.215590561,2.726858683,2.366646334,2.266761131,2.056395513,2.130855509,2.660266574,3.28777595,3.005878803,2.676088923,2.812261003,3.502285859
Central African Republic,CAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.568069342,1.642125317,1.497087845,1.255882652,1.16678192,1.210192071,,,,,,1.109131185,1.35309986,1.201693015,1.15123645,,1.125878508,1.587181967,1.816206731,2.597425043,2.271558766,1.970128935,3.155823963,2.25538964,1.686089014,1.528332632,1.435967607,1.43304054,1.915529229,1.872148627
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.18525654,4.128312243,3.999216389,3.620650112,3.402062837,2.930260659,2.683282422,2.74792677,2.54364188,2.27378467,2.188979696,2.131485639,2.011818438,1.832601818,1.783813085,1.863541853,1.765927978,1.8057636,1.848887401,1.711245918,1.764448615,1.709915638,1.954343585,2.081196249,2.117188855,2.097376234,2.109197118,2.062576371,1.986767119,1.934614309,1.958793742,1.895444339,1.8616877,1.821753504,1.696680257,1.554090071,1.403752581,1.246243202,1.256293902,1.241703064,1.11808088,1.137368973,1.120852292,1.115878799,1.107966027,1.110669655,1.125832408,1.188901783,1.248621382,1.377555631,1.194338338,1.193291895,1.118404598,1.0023672,0.989925299,1.152709374,1.164161567,1.351602232,1.324681094,1.27894142,1.415055841
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.659717493,3.413760558,2.742634927,2.565342197,2.3505069,2.280135062,2.36823069,2.245308567,2.328380445,2.170949424,1.95242855,1.85993687,1.892018366,1.895491711,1.860814,1.753696338,1.774241768,1.694541286,1.653509046,1.530678793,1.522138805,1.473566608,1.408321089,1.396796849,1.37233014,1.419809522,1.534330589,1.480380559,1.517297378,1.644100113,1.755047247,1.955888333
Switzerland,CHE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.341450361,2.469077069,2.567567568,2.516336682,2.535855697,2.467959251,2.530793359,2.382373845,2.176517572,2.197923705,2.103347488,2.052526822,1.968126125,1.861448562,1.875974486,1.900752738,2.162581009,2.022086563,1.967364431,2.039799426,1.678606546,1.662802221,1.728194511,1.748805589,1.701248303,1.824971868,1.661021951,1.561866055,1.564805264,1.524165367,1.572147188,1.537824886,1.523709272,1.366964345,1.332284094,1.355810883,1.284335761,1.220946312,1.184320033,1.085401612,1.029280853,0.991880362,0.956388839,0.926631178,0.888924253,0.852623305,0.772549506,0.734436406,0.71863774,0.726566529,0.682000296,0.688864301,0.663502197,0.706124077,0.628104288,0.643890851,0.657387011,0.656917773,0.632561531,0.699250733,0.778520639
Channel Islands,CHI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.118405627,3.527447297,3.043709078,2.865395725,2.635186596,2.885712733,2.735920852,2.713632634,2.527068178,2.260899987,4.450450634,6.264815442,6.625414195,6.283820901,7.109561164,6.742536661,6.085050825,6.915244814,6.728122321,6.332556333,6.48209287,7.022118889,8.877267738,7.575222602,7.605406176,6.900608611,6.288002199,5.638071075,4.13999608,3.590029509,3.401654859,2.849842767,2.628510469,2.706922937,2.597544983,2.562064629,2.449320898,2.498201924,2.589837226,2.713631594,2.703282046,2.667495173,2.552093091,2.733843212,2.707975136,2.521502877,2.49083178,2.318802202,2.584010483,2.263607889,2.23946831,2.254395656,2.046290407,1.986419474,1.958526713,1.898487266,1.91538872,1.9358293,1.859638618,1.837381841,1.853907407
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.447101315,2.454016116,2.311243412,2.449542068,1.928066874,1.693479599,1.686233887,1.65272667,1.632650673,1.655080691,1.871465914,1.830343718,1.976185991,2.049686062,1.983406274,1.927764976,1.85334244,1.85464884,1.739812859,1.712334361,1.886133152,1.73947515,1.665576053,1.693368163,1.702855096,1.728689068,1.750717767,1.770695719,1.74645507,1.739533683,1.727827863,1.749795773
Cote d'Ivoire,CIV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,1.275534442,0.998988878,1.143929912,1.319699499,1.263565891,1.312658687,1.160490046,1.148796499,1.181007472,1.500340987,1.695633743,1.130342635,1.339648173,1.178430198,1.118886112,0.794768612,1.098093102,1.123772304,1.164286711,1.091036048,1.142167706,1.115046625,1.025590419,0.996969504,1.05352867,1.217098753,1.249140612,1.330374658,1.333435385,1.374856332,1.40745388,1.428552033,1.096734023,,0.844918599,0.796851598,,,,,,1.391605092,1.51507182,1.462534212,1.501948666,1.590764499,1.522855742,1.730239456,1.557966049,1.392028045,1.521417072,1.37538725,1.475969049,1.719446027,1.707463673,1.329599894,1.413435448,1.227480729,1.328239978
Cameroon,CMR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.872127872,1.842670401,1.762854734,1.760674157,1.691940723,1.727593933,1.762325015,1.715850108,1.66511724,1.655363748,1.555817726,1.818915609,1.990519146,1.890684084,1.740219092,1.339835729,1.217823458,1.250025497,1.284796155,1.333689155,1.474566613,1.514551699,1.532605614,1.326124551,1.310340092,1.251644839,1.224837883,1.301241746,1.396509438,1.443852391,1.324748865,1.290360035,1.338506756,1.383806998,1.401603832,1.243220765,1.32737745,1.326606417,1.312339132,1.319340142,1.354256639,1.18443512,1.217846576,1.214414615,1.149088972,1.144433296,1.187536437,1.173793483,1.11159531,1.086759173,1.010443012
"Congo, Dem. Rep.",COD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,3.91E-05,,4.31E-05,,4.22E-05,4.17E-05,5.52E-05,4.86E-05,4.03E-05,3.49E-05,5.27E-05,4.53E-05,3.36E-05,3.49E-05,3.27E-05,2.97E-05,,,,,,,,,,,,,,5.226085685,,,1.546801091,1.410851124,0.428454161,1.158150664,0.220260773,,,0.880645711,1.336604385,1.380795458,1.434633855,1.254075528,0.808542544,0.656239765,0.851731339,0.92410908,1.134550276,1.146177977,0.95024714,1.295639749,1.066108209,0.770467136,0.623912515,0.708059013,0.749453965
"Congo, Rep.",COG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,4.860402685,4.600243013,3.52967033,4.220272904,4.240875912,4.497493734,4.73183391,4.953219593,4.3197176,4.393713163,3.365982242,3.187096179,3.345045678,,2.253103808,2.575195715,,4.374167391,,,,,4.287556415,4.077874244,,,,,,,,1.948493873,2.341203858,2.682498277,2.673874094,1.657893917,1.637114728,2.260495005,2.041300007,,1.778276155,,,2.61779522,5.007370687,,6.44878239,4.209375353,2.50811728,2.748296599,3.384330555
Colombia,COL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.884323476,2.143256303,3.099415205,3.515140376,3.180803571,3.190946922,3.165244797,3.117364563,2.385372481,2.054924157,2.259546584,3.374174097,1.967195823,1.690245106,1.575780135,1.740268075,1.493602871,1.438487214,1.55031941,1.67392877,1.830121649,1.755120362,1.713850959,2.219937527,2.325894964,2.054016609,1.944619591,1.983135416,2.199244755,2.188183807,1.8601593,1.853481783,2.106677943,2.525267018,2.508407013,2.831626581,4.445393254,2.801787886,3.440985742,3.762742058,3.031683539,3.323872819,3.417127624,3.463988691,3.465015174,3.352873388,3.276130639,3.266739663,3.744606437,3.885353868,3.642755602,3.081613642,3.158960235,3.274401004,3.108258848,3.109960084,3.071131026,3.209062437,3.062105511,3.140733964,3.375763519
Comoros,COM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.792398965,2.463444386,2.335531481,2.103676174,1.913885606,,,,0.992592471,0.756580531,0.838878589,1.265080851,0.84417531,0.831007455,0.858540442,0.838543201,1.154025913,0.753615197,0.66548029,0.648753559,0.630978438,0.649497233,0.564741208,0.524703169,0.601269382,0.490877611,0.495061947,0.523241061,0.555765135,0.530303913,0.540807447,0.558982326,0.61182693,0.53085719,0.542008419,0.488213087,0.590190723
