geography_desc,year_desc,category,commodity_desc,amount,unit_desc
China,2008,Agricultural inputs,Ag employment (primary industry),306.54,million
China,2008,Agricultural inputs,Total fertilizer consumption,52390,1000 tons
China,2008,Animals slaughtered,Cattle,44461,1000
China,2008,Animals slaughtered,Hogs,610166,1000
China,2008,Crop production,Apples,29847,1000 tons
China,2008,Crop production,Bananas,7835,1000 tons
China,2008,Crop production,Beans,20430,1000 tons
China,2008,Crop production,Citrus,23313,1000 tons
China,2008,Crop production,Corn,165910,1000 tons
China,2008,Crop production,Cotton,7492,1000 tons
China,2008,Crop production,Fiber crops,625,1000 tons
China,2008,Crop production,Fruit,192202,1000 tons
China,2008,Crop production,Grain,528710,1000 tons
China,2008,Crop production,Oil crops,29528,1000 tons
China,2008,Crop production,Peanuts,14286,1000 tons
China,2008,Crop production,Pears,13538,1000 tons
China,2008,Crop production,Rapeseed,12102,1000 tons
China,2008,Crop production,Rice,191900,1000 tons
China,2008,Crop production,Sesame seed,586,1000 tons
China,2008,Crop production,Sugar beets,10044,1000 tons
China,2008,Crop production,Sugar cane,124152,1000 tons
China,2008,Crop production,Tea,1258,1000 tons
China,2008,Crop production,Tobacco,2838,1000 tons
China,2008,Crop production,Tubers,29800,1000 tons
China,2008,Crop production,Vegetables,592403,1000 tons
China,2008,Crop production,Wheat ,112460,1000 tons
China,2008,Crop sown area,Cotton,5754,1000 hectares
China,2008,Crop sown area,Grain,106793,1000 hectares
China,2008,Crop sown area,Oil crops,12825,1000 hectares
China,2008,Crop sown area,Total sown area,156266,1000 hectares
China,2008,Industrial output of selected products,Chemical fibers,24150,1000 tons
China,2008,Industrial output of selected products,Cigarettes,22199,100 million pieces
China,2008,Industrial output of selected products,Cloth,71000,Million meters
China,2008,Industrial output of selected products,Household refrigerators,47569,1000 units
China,2008,Industrial output of selected products,Sugar,14490,1000 tons
China,2008,Industrial output of selected products,"Tractors, large and medium",217,1000 tons
China,2008,Industrial output of selected products,Yarn,21489,1000 tons
China,2008,Livestock inventories,Camels,240,1000
China,2008,Livestock inventories,Cattle & buffalo,105760,1000
China,2008,Livestock inventories,Donkeys,6731,1000
China,2008,Livestock inventories,Hogs,462913,1000
China,2008,Livestock inventories,Horses,6821,1000
China,2008,Livestock inventories,Large animals,122507,1000
China,2008,Livestock inventories,Mules,2955,1000
China,2008,Livestock inventories,Sheep & goats,280849,1000
China,2008,Livestock products,Aquatic products,48949,1000 tons
China,2008,Livestock products,Beef ,6132,1000 tons
China,2008,Livestock products,Cow milk,35538,1000 tons
China,2008,Livestock products,Eggs,27017,1000 tons
China,2008,Livestock products,Meat,72787,1000 tons
China,2008,Livestock products,Mutton,3803,1000 tons
China,2008,Livestock products,Other milk,2277,1000 tons
China,2008,Livestock products,Pork ,46205,1000 tons
China,2008,Macroeconomic data,Employment: Primary industry,306.54,million
China,2008,Macroeconomic data,Exchange rate,6.95,Yuan per US$
China,2008,Macroeconomic data,"Exports: Edible oils, fats & waxes",5.7,Million U.S. dollars
China,2008,Macroeconomic data,Exports: Food & live animals used for food,327.6,Million U.S. dollars
China,2008,Macroeconomic data,Exports: Tobacco & beverages,15.3,Million U.S. dollars
China,2008,Macroeconomic data,GDP per capita,22698,Yuan
China,2008,Macroeconomic data,GDP: Primary industry,34000,Billion yuan
China,2008,Macroeconomic data,Gross domestic product,300670,Billion yuan
China,2008,Macroeconomic data,"Imports: Edible oils, fats & waxes",104.9,Million U.S. dollars
China,2008,Macroeconomic data,Imports: Food & live animals used for food,140.5,Million U.S. dollars
China,2008,Macroeconomic data,Imports: Tobacco & beverages,19.2,Million U.S. dollars
China,2008,Macroeconomic data,Population,132802,10000
China,2008,Macroeconomic data,Rural employment,47270,10000
China,2008,Macroeconomic data,Rural population,72135,10000
China,2008,Macroeconomic data,Total employment,77480,10000
China,2008,Macroeconomic data,Total exports (million),1428550,Million U.S. dollars
China,2008,Macroeconomic data,Total imports (million),1133090,Million U.S. dollars
China,2008,Macroeconomic data,Total wages (100 million yuan),33713.8,100 million yuan
China,2008,Macroeconomic data,Urban population,60667,10000
China,2008,Price indexes,Ag product farm price ,114.1,Previous year=100
China,2008,Price indexes,Ag product farm price: Cattle,123.6,Previous year=100
China,2008,Price indexes,Ag product farm price: Cereals,107.1,Previous year=100
China,2008,Price indexes,Ag product farm price: Chickens,111.9,Previous year=100
China,2008,Price indexes,Ag product farm price: Corn,107.3,Previous year=100
China,2008,Price indexes,Ag product farm price: Cotton,90.6,Previous year=100
China,2008,Price indexes,Ag product farm price: Eggs,112.2,Previous year=100
China,2008,Price indexes,Ag product farm price: Fresh water fish,114.6,Previous year=100
China,2008,Price indexes,Ag product farm price: Fruit,101.4,Previous year=100
China,2008,Price indexes,Ag product farm price: Livestock & poultry,123.9,Previous year=100
China,2008,Price indexes,Ag product farm price: Oilseeds,128,Previous year=100
China,2008,Price indexes,Ag product farm price: Pigs,130.8,Previous year=100
China,2008,Price indexes,Ag product farm price: Rice paddy,106.6,Previous year=100
China,2008,Price indexes,Ag product farm price: Soybean,119.7,Previous year=100
China,2008,Price indexes,Ag product farm price: Vegetables,104.7,Previous year=100
China,2008,Price indexes,Ag product farm price: Wheat,108.7,Previous year=100
China,2008,Price indexes,Consumer price index,105.9,Previous year=100
China,2008,Price indexes,CPI: Alcohol beverages,107.5,Previous year=100
China,2008,Price indexes,CPI: Dairy,117,Previous year=100
China,2008,Price indexes,CPI: Edible oils,125.4,Previous year=100
China,2008,Price indexes,CPI: Eggs,104.3,Previous year=100
China,2008,Price indexes,CPI: Fish & shrimp,114.2,Previous year=100
China,2008,Price indexes,CPI: Food,114.3,Previous year=100
China,2008,Price indexes,CPI: Fruit & melons,110.8,Previous year=100
China,2008,Price indexes,CPI: Grain,107,Previous year=100
China,2008,Price indexes,CPI: Meat,121.7,Previous year=100
China,2008,Price indexes,CPI: Sugar,104,Previous year=100
China,2008,Price indexes,CPI: Tea & beverages,103.7,Previous year=100
China,2008,Price indexes,CPI: Tobacco,100.4,Previous year=100
China,2008,Price indexes,CPI-vegetables,111,Previous year=100
China,2008,Price indexes,Ex-factory price of clothing products,102.2,Previous year=100
China,2008,Price indexes,Ex-factory price of food products,108.3,Previous year=100
China,2008,Price indexes,Raw materials purchase price index - ag sideline products ,107.5,Previous year=100
China,2008,Price indexes,Retail price index,105.9,Previous year=100
China,2008,Price indexes,Rural CPI,106.7,Previous year=100
China,2008,Price indexes,Urban CPI,105.5,Previous year=100
China,2008,Rural per capita consumption,Alcoholic beverages,9.7,Kilograms
China,2008,Rural per capita consumption,Aquatic products,5.2,Kilograms
China,2008,Rural per capita consumption,Edible oils,6.2,Kilograms
China,2008,Rural per capita consumption,Fine grains (wheat & rice),173.7,Kilograms
China,2008,Rural per capita consumption,Fresh eggs,5.4,Kilograms
China,2008,Rural per capita consumption,Grain ,199.1,Kilograms
China,2008,Rural per capita consumption,Per capita food expenditures,1598.7,Kilograms
China,2008,Rural per capita consumption,Per capita living expenditures,3660.7,Kilograms
China,2008,Rural per capita consumption,Per capita net income,4760.6,Kilograms
China,2008,Rural per capita consumption,"Pork, beef & mutton",13.9,Kilograms
China,2008,Rural per capita consumption,Poultry,4.4,Kilograms
China,2008,Rural per capita consumption,Sugar,1.1,Kilograms
China,2008,Rural per capita consumption,Vegetables,99.7,Kilograms
China,2008,Urban per capita consumption,Beef & mutton,3.4,Kilograms
China,2008,Urban per capita consumption,Edible vegetable oils,10.3,Kilograms
China,2008,Urban per capita consumption,Fresh eggs,10.7,Kilograms
China,2008,Urban per capita consumption,Per capita disposable income,15780.8,Yuan
China,2008,Urban per capita consumption,Per capita food expenditures,4259.8,Yuan
China,2008,Urban per capita consumption,Per capita living expenditures,11242.9,Yuan
China,2008,Urban per capita consumption,Pork,19.3,Kilograms
China,2008,Urban per capita consumption,Vegetables,123.2,Kilograms
China,2007,Agricultural inputs,Ag employment (primary industry),314.44,million
China,2007,Agricultural inputs,Compound fertilizer,15030,1000 tons
China,2007,Agricultural inputs,Cultivated land area,121735,1000 hectares
China,2007,Agricultural inputs,Irrigated area,56518.3,1000 hectares
China,2007,Agricultural inputs,Irrigated area by mech/elec pump,37761.6,1000 hectares
China,2007,Agricultural inputs,Nitrogenous fertilizer,22972,1000 tons
China,2007,Agricultural inputs,Pesticide use,1623,1000 tons
China,2007,Agricultural inputs,Phosphate fertilizer,7730,1000 tons
China,2007,Agricultural inputs,Potash fertilizer,5336,1000 tons
China,2007,Agricultural inputs,Rural electricity consumption,550.99,Billion kwh
China,2007,Agricultural inputs,Total fertilizer consumption,51078,1000 tons
China,2007,Agricultural inputs,Total power of ag machinery,76589.6,10000 kw
China,2007,Animals slaughtered,Camels,74,1000
China,2007,Animals slaughtered,Cattle,43594.9,1000
China,2007,Animals slaughtered,Donkeys,2161,1000
China,2007,Animals slaughtered,Hogs,565083,1000
China,2007,Animals slaughtered,Horses,1512.5,1000
China,2007,Animals slaughtered,Mules,579.5,1000
China,2007,Animals slaughtered,Poultry,9580000,1000
China,2007,Animals slaughtered,Rabbits,440872.5,1000
China,2007,Animals slaughtered,Sheep & goats,255707.1,1000
China,2007,Crop production,Apples,27860,1000 tons
China,2007,Crop production,Bananas,7797,1000 tons
China,2007,Crop production,Beans,17201,1000 tons
China,2007,Crop production,Citrus,20583,1000 tons
China,2007,Crop production,Corn,152300,1000 tons
China,2007,Crop production,Cotton,7624,1000 tons
China,2007,Crop production,Dates,3030.62266,1000 tons
China,2007,Crop production,Early rice,31515,1000 tons
China,2007,Crop production,Fiber crops,728,1000 tons
China,2007,Crop production,Fruit,181363,1000 tons
China,2007,Crop production,Grain,501603,1000 tons
China,2007,Crop production,Grapes,6697,1000 tons
China,2007,Crop production,Late rice,33513,1000 tons
China,2007,Crop production,Melons,76160,1000 tons
China,2007,Crop production,Middle rice,121005,1000 tons
China,2007,Crop production,Millet,1507,1000 tons
China,2007,Crop production,Muskmelon,10341,1000 tons
China,2007,Crop production,Oil crops,25687,1000 tons
China,2007,Crop production,Peaches,9052,1000 tons
China,2007,Crop production,Peanuts,13027,1000 tons
China,2007,Crop production,Pears,12895,1000 tons
China,2007,Crop production,Pineapple,905.09044,1000 tons
China,2007,Crop production,Rapeseed,10573,1000 tons
China,2007,Crop production,Rice,186034,1000 tons
China,2007,Crop production,Sesame seed,557,1000 tons
China,2007,Crop production,Sorghum,1920,1000 tons
China,2007,Crop production,Soybeans,12725,1000 tons
China,2007,Crop production,Strawberries,1872,1000 tons
China,2007,Crop production,Sugar beets,8931,1000 tons
China,2007,Crop production,Sugar cane,112951,1000 tons
China,2007,Crop production,Sunflowerseed,1187,1000 tons
China,2007,Crop production,Tea,1165,1000 tons
China,2007,Crop production,Tobacco,2395,1000 tons
China,2007,Crop production,Tubers,28078,1000 tons
China,2007,Crop production,Vegetables,564520,1000 tons
China,2007,Crop production,Vegetables & melons,640680,1000 tons
China,2007,Crop production,Watermelons,62036,1000 tons
China,2007,Crop production,Wheat ,109298,1000 tons
China,2007,Crop sown area,Apples,1961.8,1000 hectares
China,2007,Crop sown area,Bananas,306.6,1000 hectares
China,2007,Crop sown area,Beans,11779.5,1000 hectares
China,2007,Crop sown area,Cereals,85777,1000 hectares
China,2007,Crop sown area,Citrus,1941.4,1000 hectares
China,2007,Crop sown area,Corn,29478,1000 hectares
China,2007,Crop sown area,Cotton,5926,1000 hectares
China,2007,Crop sown area,Early rice,5742.4,1000 hectares
China,2007,Crop sown area,Fiber crops,263,1000 hectares
China,2007,Crop sown area,Fruit orchards,10471,1000 hectares
China,2007,Crop sown area,Grain,105638,1000 hectares
China,2007,Crop sown area,Grapes,438.4,1000 hectares
China,2007,Crop sown area,Late rice,6038.2,1000 hectares
China,2007,Crop sown area,Medicinal crops,960.7,1000 hectares
China,2007,Crop sown area,Melons,2251.5,1000 hectares
China,2007,Crop sown area,Middle rice,17138.2,1000 hectares
China,2007,Crop sown area,Millet,844.052,1000 hectares
China,2007,Crop sown area,Muskmelon,357,1000 hectares
China,2007,Crop sown area,Oil crops,11316,1000 hectares
China,2007,Crop sown area,Peaches,696.7,1000 hectares
China,2007,Crop sown area,Peanuts,3945,1000 hectares
China,2007,Crop sown area,Pears,1071.3,1000 hectares
China,2007,Crop sown area,Pineapple,54.5,1000 hectares
China,2007,Crop sown area,Rapeseed,5642,1000 hectares
China,2007,Crop sown area,Rice,28919,1000 hectares
China,2007,Crop sown area,Sesame seed,491.0848,1000 hectares
China,2007,Crop sown area,Sorghum,500.4,1000 hectares
China,2007,Crop sown area,Soybeans,11780,1000 hectares
China,2007,Crop sown area,Strawberries,79.4,1000 hectares
China,2007,Crop sown area,Sugar beets,215.9,1000 hectares
China,2007,Crop sown area,Sugar cane,1586,1000 hectares
China,2007,Crop sown area,Sunflowerseed,719.2,1000 hectares
China,2007,Crop sown area,Tea,1613,1000 hectares
China,2007,Crop sown area,Tobacco,1164,1000 hectares
China,2007,Crop sown area,Total sown area,153464,1000 hectares
China,2007,Crop sown area,Tubers,8082,1000 hectares
China,2007,Crop sown area,Vegetables,17329,1000 hectares
China,2007,Crop sown area,Vegetables & melons,19582.0064,1000 hectares
China,2007,Crop sown area,Watermelons,1734.7,1000 hectares
China,2007,Crop sown area,Wheat ,23721,1000 hectares
China,2007,Industrial output of selected products,Beer,3954.07,10000 Kiloliters
China,2007,Industrial output of selected products,Canned food,6036.2,1000 tons
China,2007,Industrial output of selected products,Chemical fertilizers,58249.8,1000 tons
China,2007,Industrial output of selected products,Chemical fibers,24137.8,1000 tons
China,2007,Industrial output of selected products,Chemical pesticides,1764.8,1000 tons
China,2007,Industrial output of selected products,Cigarettes,21438.8,100 million pieces
China,2007,Industrial output of selected products,Cloth,67526,Million meters
China,2007,Industrial output of selected products,Edible vegetable oils,26369.8,1000 tons
China,2007,Industrial output of selected products,Electricity,3281.55,Billion kwh
China,2007,Industrial output of selected products,Household refrigerators,43971.3,1000 units
China,2007,Industrial output of selected products,Machine-made paper & paperboard ,77924.3,1000 tons
China,2007,Industrial output of selected products,Nitrogen fertilizer,42331.3,1000 tons
China,2007,Industrial output of selected products,Sugar,12713.8,1000 tons
China,2007,Industrial output of selected products,"Tractors, large and medium",203.1,1000 tons
China,2007,Industrial output of selected products,Yarn,20681.7,1000 tons
China,2007,Livestock inventories,Buffalo,14888,1000
China,2007,Livestock inventories,Camels,242,1000
China,2007,Livestock inventories,Cattle & buffalo,105948,1000
China,2007,Livestock inventories,Dairy cattle,12259,1000
China,2007,Livestock inventories,Donkeys,6891,1000
China,2007,Livestock inventories,Hogs,439895,1000
China,2007,Livestock inventories,Horses,7028,1000
China,2007,Livestock inventories,Large animals,123093,1000
China,2007,Livestock inventories,Mules,2985,1000
China,2007,Livestock inventories,Poultry,5020000,1000
China,2007,Livestock inventories,Sheep & goats,285647,1000
China,2007,Livestock inventories,Yellow cattle,78801,1000
China,2007,Livestock products,Aquatic products,47475,1000 tons
China,2007,Livestock products,Beef ,6134,1000 tons
China,2007,Livestock products,Cow milk,35252,1000 tons
China,2007,Livestock products,Eggs,25290,1000 tons
China,2007,Livestock products,Meat,68657,1000 tons
China,2007,Livestock products,Mutton,3826,1000 tons
China,2007,Livestock products,Other milk,1082,1000 tons
China,2007,Livestock products,Pork ,42878,1000 tons
China,2007,Livestock products,Poultry,14476,1000 tons
China,2007,Macroeconomic data,Employment: Primary industry,314.44,million
China,2007,Macroeconomic data,Exchange rate,7.6,Yuan per US$
China,2007,Macroeconomic data,"Exports: Edible oils, fats & waxes",303,Million U.S. dollars
China,2007,Macroeconomic data,Exports: Food & live animals used for food,30743,Million U.S. dollars
China,2007,Macroeconomic data,Exports: Tobacco & beverages,1397,Million U.S. dollars
China,2007,Macroeconomic data,GDP per capita,19524.1,Yuan
China,2007,Macroeconomic data,GDP: Primary industry,2862.7,Billion yuan
China,2007,Macroeconomic data,Gross domestic product,25730.6,Billion yuan
China,2007,Macroeconomic data,"Gross output value: Ag, forestry & fisheries",4889.3,Billion yuan
China,2007,Macroeconomic data,Gross output value: Animal husbandry,16124.9,100 mil. yuan
China,2007,Macroeconomic data,Gross output value: Crops,24658.1,100 mil. yuan
China,2007,Macroeconomic data,Gross output value: Fisheries,4457.5,100 mil. yuan
China,2007,Macroeconomic data,Gross output value: Forestry,1861.6,100 mil. yuan
China,2007,Macroeconomic data,"Imports: Edible oils, fats & waxes",7344,Million U.S. dollars
China,2007,Macroeconomic data,Imports: Food & live animals used for food,11500,Million U.S. dollars
China,2007,Macroeconomic data,Imports: Tobacco & beverages,1401,Million U.S. dollars
China,2007,Macroeconomic data,Population,132129,10000
China,2007,Macroeconomic data,Rural employment,47640,10000
China,2007,Macroeconomic data,Rural population,72750,10000
China,2007,Macroeconomic data,Total employment,76990,10000
China,2007,Macroeconomic data,Total exports (million),968936,Million U.S. dollars
China,2007,Macroeconomic data,Total imports (million),791461,Million U.S. dollars
China,2007,Macroeconomic data,Total wages (100 million yuan),28244,100 million yuan
China,2007,Macroeconomic data,Urban population,59379,10000
China,2007,Price indexes,Ag input purchase price index,107.7,Previous year=100
China,2007,Price indexes,Ag input: Chemical fertilizer,103.4,Previous year=100
China,2007,Price indexes,Ag input: Farm machinery,101.7,Previous year=100
China,2007,Price indexes,Ag input: Feed & forage,108.2,Previous year=100
China,2007,Price indexes,Ag input: Oil for fam machinery,105.3,Previous year=100
China,2007,Price indexes,Ag input: Pesticides,101.4,Previous year=100
China,2007,Price indexes,Ag input: Small farm tools,104.9,Previous year=100
China,2007,Price indexes,Ag input: Young livestock & fowl,144.5,Previous year=100
China,2007,Price indexes,Ag product farm price ,118.49,Previous year=100
China,2007,Price indexes,Ag product farm price: Cattle,117.46,Previous year=100
China,2007,Price indexes,Ag product farm price: Cereals,108.95,Previous year=100
China,2007,Price indexes,Ag product farm price: Chickens,117.02,Previous year=100
China,2007,Price indexes,Ag product farm price: Corn,115.04,Previous year=100
China,2007,Price indexes,Ag product farm price: Cotton,109.6,Previous year=100
China,2007,Price indexes,Ag product farm price: Eggs,115.89,Previous year=100
China,2007,Price indexes,Ag product farm price: Fresh water fish,106.75,Previous year=100
China,2007,Price indexes,Ag product farm price: Fruit,101.27,Previous year=100
China,2007,Price indexes,Ag product farm price: Livestock & poultry,131.36,Previous year=100
China,2007,Price indexes,Ag product farm price: Oilseeds,133.44,Previous year=100
China,2007,Price indexes,Ag product farm price: Pigs,145.85,Previous year=100
China,2007,Price indexes,Ag product farm price: Rice paddy,105.43,Previous year=100
China,2007,Price indexes,Ag product farm price: Soybean,124.17,Previous year=100
China,2007,Price indexes,Ag product farm price: Sugar,100,Previous year=100
China,2007,Price indexes,Ag product farm price: Vegetables,106.85,Previous year=100
China,2007,Price indexes,Ag product farm price: Wheat,105.5,Previous year=100
China,2007,Price indexes,Consumer price index,104.8,Previous year=100
China,2007,Price indexes,CPI: Alcohol beverages,103.5,Previous year=100
China,2007,Price indexes,CPI: Dairy,102.7,Previous year=100
China,2007,Price indexes,CPI: Edible oils,126.7,Previous year=100
China,2007,Price indexes,CPI: Eggs,121.8,Previous year=100
China,2007,Price indexes,CPI: Fish & shrimp,105.1,Previous year=100
China,2007,Price indexes,CPI: Food,112.3,Previous year=100
China,2007,Price indexes,CPI: Fruit & melons,102.2,Previous year=100
China,2007,Price indexes,CPI: Grain,106.3,Previous year=100
China,2007,Price indexes,CPI: Meat,131.7,Previous year=100
China,2007,Price indexes,CPI: Sugar,101.6,Previous year=100
China,2007,Price indexes,CPI: Tea & beverages,101.5,Previous year=100
China,2007,Price indexes,CPI: Tobacco,100.8,Previous year=100
China,2007,Price indexes,CPI-vegetables,107.9,Previous year=100
China,2007,Price indexes,Ex-factory price of clothing products,101.2,Previous year=100
China,2007,Price indexes,Ex-factory price of food products,107,Previous year=100
China,2007,Price indexes,Raw materials purchase price index - ag sideline products ,106.1,Previous year=100
China,2007,Price indexes,Retail price index,103.8,Previous year=100
China,2007,Price indexes,Rural CPI,105.4,Previous year=100
China,2007,Price indexes,Urban CPI,104.5,Previous year=100
China,2007,Rural per capita consumption,Alcoholic beverages,10.18,Kilograms
China,2007,Rural per capita consumption,Aquatic products,5.36,Kilograms
China,2007,Rural per capita consumption,Edible oils,5.96,Kilograms
China,2007,Rural per capita consumption,Fine grains (wheat & rice),173.76,Kilograms
China,2007,Rural per capita consumption,Fresh eggs,4.72,Kilograms
China,2007,Rural per capita consumption,Fruits ,19.43,Kilograms
China,2007,Rural per capita consumption,Grain ,199.48,Kilograms
China,2007,Rural per capita consumption,Milk and Dairy,3.52,Kilograms
China,2007,Rural per capita consumption,Per capita food expenditures,1389,Yuan
China,2007,Rural per capita consumption,Per capita living expenditures,3223.85,Yuan
China,2007,Rural per capita consumption,Per capita net income,4140.36,Yuan
China,2007,Rural per capita consumption,Pork,13.37,Kilograms
China,2007,Rural per capita consumption,"Pork, beef & mutton",14.88,Kilograms
China,2007,Rural per capita consumption,Poultry,3.86,Kilograms
China,2007,Rural per capita consumption,Rice,109.35,Kilograms
China,2007,Rural per capita consumption,Sugar,1.07,Kilograms
China,2007,Rural per capita consumption,Vegetables,98.99,Kilograms
China,2007,Rural per capita consumption,Wheat,64.41,Kilograms
China,2007,Urban per capita consumption,Alcoholic beverages,9.14,Kilograms
China,2007,Urban per capita consumption,Aquatic products,14.2,Kilograms
China,2007,Urban per capita consumption,Beef & mutton,3.93,Kilograms
China,2007,Urban per capita consumption,Cigarettes,191.92,Kilograms
China,2007,Urban per capita consumption,Edible vegetable oils,9.63,Kilograms
China,2007,Urban per capita consumption,Fresh eggs,10.33,Kilograms
China,2007,Urban per capita consumption,Fruits & melons,59.54,Kilograms
China,2007,Urban per capita consumption,Grain,77.6,Kilograms
China,2007,Urban per capita consumption,Milk,17.75,Kilograms
China,2007,Urban per capita consumption,Per capita disposable income,13785.81,Yuan
China,2007,Urban per capita consumption,Per capita food expenditures,3628.03,Yuan
China,2007,Urban per capita consumption,Per capita living expenditures,9997.47,Yuan
China,2007,Urban per capita consumption,Pork,18.21,Kilograms
China,2007,Urban per capita consumption,Poultry,9.66,Kilograms
China,2007,Urban per capita consumption,Sugar,34.5,Kilograms
China,2007,Urban per capita consumption,Vegetables,117.8,Kilograms
China,2006,Agricultural inputs,Ag employment (primary industry),325.61,million
China,2006,Agricultural inputs,Compound fertilizer,13859,1000 tons
China,2006,Agricultural inputs,Cultivated land area,121775.9,1000 hectares
China,2006,Agricultural inputs,Irrigated area,55750.5,1000 hectares
China,2006,Agricultural inputs,Irrigated area by mech/elec pump,37761.6,1000 hectares
China,2006,Agricultural inputs,Nitrogenous fertilizer,22625,1000 tons
China,2006,Agricultural inputs,Pesticide use,1537.1,1000 tons
China,2006,Agricultural inputs,Phosphate fertilizer,7695,1000 tons
China,2006,Agricultural inputs,Potash fertilizer,5097,1000 tons
China,2006,Agricultural inputs,Rural electricity consumption,489.58,Billion kwh
China,2006,Agricultural inputs,Total fertilizer consumption,49277,1000 tons
China,2006,Agricultural inputs,Total power of ag machinery,72522.1,10000 kw
China,2006,Animals slaughtered,Camels,73,1000
China,2006,Animals slaughtered,Cattle,42220,1000
China,2006,Animals slaughtered,Donkeys,2231,1000
China,2006,Animals slaughtered,Hogs,612073,1000
China,2006,Animals slaughtered,Horses,1538,1000
China,2006,Animals slaughtered,Mules,612,1000
China,2006,Animals slaughtered,Poultry,9310000,1000
China,2006,Animals slaughtered,Rabbits,403677,1000
China,2006,Animals slaughtered,Sheep & goats,247339,1000
China,2006,Crop production,Apples,26059,1000 tons
China,2006,Crop production,Bananas,6901,1000 tons
China,2006,Crop production,Beans,21044.6,1000 tons
China,2006,Crop production,Citrus,17898,1000 tons
China,2006,Crop production,Corn,145481.9,1000 tons
China,2006,Crop production,Cotton,6745.8,1000 tons
China,2006,Crop production,Dates,3052.9,1000 tons
China,2006,Crop production,Early rice,31868,1000 tons
China,2006,Crop production,Fiber crops,891,1000 tons
China,2006,Crop production,Fruit,172399,1000 tons
China,2006,Crop production,Grain,497479,1000 tons
China,2006,Crop production,Grapes,6271,1000 tons
China,2006,Crop production,Late rice,34669,1000 tons
China,2006,Crop production,Melons,75027,1000 tons
China,2006,Crop production,Middle rice,116034,1000 tons
China,2006,Crop production,Millet,1639,1000 tons
China,2006,Crop production,Muskmelon,9652.355,1000 tons
China,2006,Crop production,Oil crops,30593.9,1000 tons
China,2006,Crop production,Peaches,8214.7,1000 tons
China,2006,Crop production,Peanuts,14666.1,1000 tons
China,2006,Crop production,Pears,11986,1000 tons
China,2006,Crop production,Pineapple,890.7,1000 tons
China,2006,Crop production,Rapeseed,12649.3,1000 tons
China,2006,Crop production,Rice,182571.86,1000 tons
China,2006,Crop production,Sesame seed,665.5,1000 tons
China,2006,Crop production,Sorghum,2182,1000 tons
China,2006,Crop production,Soybeans,15074,1000 tons
China,2006,Crop production,Strawberries,1875.737,1000 tons
China,2006,Crop production,Sugar beets,7508,1000 tons
China,2006,Crop production,Sugar cane,99783.7,1000 tons
China,2006,Crop production,Sunflowerseed,1440,1000 tons
China,2006,Crop production,Tea,1028.1,1000 tons
China,2006,Crop production,Tobacco,2744.4,1000 tons
China,2006,Crop production,Tubers,34061.1,1000 tons
China,2006,Crop production,Vegetables,539531,1000 tons
China,2006,Crop production,Vegetables & melons,659662.339,1000 tons
China,2006,Crop production,Watermelons,62613.415,1000 tons
China,2006,Crop production,Wheat ,104467,1000 tons
China,2006,Crop sown area,Apples,1898.9,1000 hectares
China,2006,Crop sown area,Bananas,285.6,1000 hectares
China,2006,Crop sown area,Beans,12433.8,1000 hectares
China,2006,Crop sown area,Cereals,83126.1,1000 hectares
China,2006,Crop sown area,Citrus,1814.6,1000 hectares
China,2006,Crop sown area,Corn,26970.9,1000 hectares
China,2006,Crop sown area,Cotton,5408.9,1000 hectares
China,2006,Crop sown area,Early rice,5887.9,1000 hectares
China,2006,Crop sown area,Fiber crops,283.1,1000 hectares
China,2006,Crop sown area,Fruit orchards,10122.6,1000 hectares
China,2006,Crop sown area,Grain,105489.1,1000 hectares
China,2006,Crop sown area,Grapes,418.7,1000 hectares
China,2006,Crop sown area,Late rice,6210,1000 hectares
China,2006,Crop sown area,Medicinal crops,1214,1000 hectares
China,2006,Crop sown area,Melons,2245.9,1000 hectares
China,2006,Crop sown area,Middle rice,16840.1,1000 hectares
China,2006,Crop sown area,Millet,858,1000 hectares
China,2006,Crop sown area,Muskmelon,352.6,1000 hectares
China,2006,Crop sown area,Oil crops,13736.4,1000 hectares
China,2006,Crop sown area,Peaches,669.5,1000 hectares
China,2006,Crop sown area,Peanuts,4570.5,1000 hectares
China,2006,Crop sown area,Pears,1087.1,1000 hectares
China,2006,Crop sown area,Rapeseed,6887.7,1000 hectares
China,2006,Crop sown area,Rice,29294.6,1000 hectares
China,2006,Crop sown area,Sesame seed,568,1000 hectares
China,2006,Crop sown area,Sorghum,732.8,1000 hectares
China,2006,Crop sown area,Soybeans,9304.4,1000 hectares
China,2006,Crop sown area,Strawberries,79.3,1000 hectares
China,2006,Crop sown area,Sugar beets,188.8,1000 hectares
China,2006,Crop sown area,Sugar cane,1495.2,1000 hectares
China,2006,Crop sown area,Sunflowerseed,781.3,1000 hectares
China,2006,Crop sown area,Tea,1431.3,1000 hectares
China,2006,Crop sown area,Tobacco,1338,1000 hectares
China,2006,Crop sown area,Total sown area,157020.6,1000 hectares
China,2006,Crop sown area,Tubers,9929.1,1000 hectares
China,2006,Crop sown area,Vegetables,16639.1,1000 hectares
China,2006,Crop sown area,Vegetables & melons,20511.4,1000 hectares
China,2006,Crop sown area,Watermelons,1785.1,1000 hectares
China,2006,Crop sown area,Wheat ,22961.4,1000 hectares
China,2006,Government expenditures on agriculture,Ag production & operating expenses,216.135,Billion yuan
China,2006,Government expenditures on agriculture,Capital construction,50.428,Billion yuan
