Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3861043,568.8072954,1391.166543,4107.29677,161.1639176,19.59177031,17.73599449,10.69849776,0.053804081,-1.373675998,4.027969482,2.357399019,4.598515728,6.278594108,3.208756666,4.618012508,4.277875539,5.989562361,2.497253079,7.768715481,4.281549998,5.345804418,3.366824642,2.30918243,1.213909905,0.268575077,2.150641898,2.787709514,1.462713929,1.877457784
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.365052937,-3.259074622,-1.365583433,2.813675214,3.160612207,11.0593352,25.77639752,-15.36488955,-0.523560209,17.36842105,2.243589744,-0.962160294,1.469732765,1.405821712,-1.940890058,1.354440538,1.000485921,
Antigua and Barbuda,ATG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,8.635282086,14.8454883,11.39877921,8.352613469,11.2726971,5.172482413,3.844239769,7.411259866,8.124940169,8.876444532,12.37059487,4.580706607,1.650479896,2.606401792,2.461299377,1.813233902,3.244587998,2.403363525,2.977184413,1.827288509,2.10990702,1.504215166,1.553300159,1.482588328,0.70180233,-0.864881446,1.539517125,4.461642573,0.407675597,3.734130166,4.380667355,1.836936307,1.47335735,1.015415194,2.035711982,-0.94654445,1.9115038,3.017503702,1.872387958,-0.930126678,2.251166602,0.169555988,1.329771193
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,3.221468363,-0.075595375,1.792431727,3.284849591,2.98088217,2.687584149,4.865971297,2.250278135,4.754335262,5.13316856,5.185988547,6.189126597,8.982713793,16.38150025,16.49058788,14.01858653,11.41819924,8.235700845,8.634568102,10.01657871,9.524991743,11.70950649,10.15782125,7.863174583,4.628255278,6.454999062,7.055940065,7.205622464,9.257299145,6.094481522,3.040776627,1.502560008,0.893296509,1.01907253,2.260439603,2.69582843,1.23322903,1.272945812,0.357046786,2.579702071,4.620834583,2.860367419,3.113580689,3.31114028,3.797083703,5.092353923,5.011711467,4.525536696,5.001803549,1.167281617,6.252760381,1.85652681,-0.124199304,1.479573108,-0.549659411,-0.533000346,3.734750093,1.885615996,3.398104471,1.968036863
Austria,AUT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,5.087153717,3.340203214,3.678266121,3.183788219,5.321415449,3.122366081,3.247762568,2.838031951,2.733572877,6.45138989,6.204374575,7.599931595,8.045541911,9.502139514,6.457775892,5.624919435,5.198712148,5.993016616,4.114371171,5.580629168,6.716667662,5.355289417,3.472783369,4.949773408,2.962995804,2.950997015,2.436948188,1.526855442,2.964760556,2.999680609,3.641871531,3.479093295,2.757084639,2.524942619,1.813918193,0.986205502,1.266995537,0.441905227,0.256349694,1.364040914,1.947105394,1.145595667,1.307552579,1.73971885,2.537794158,1.892161069,2.221175867,1.956322281,1.889264178,0.873054962,1.833410245,2.054235685,1.62388807,2.175707237,2.300978667,1.848294698,0.860810509,1.713296752,1.726106861,1.235955895
Azerbaijan,AZE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.54951268,1065.329226,747.1245266,1386.067388,545.6563568,26.41916286,9.242504581,-0.965134766,2.162143305,12.49277345,2.515009979,4.214386164,6.961465116,9.251965578,14.72349655,11.32918854,20.58248282,27.97103631,-18.898911,13.82722014,24.60695003,2.844982577,0.413164057,-1.330204423,-8.809615526,14.628339,16.22620457,12.18443296,-0.221986547,-7.572475472
Burundi,BDI,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,20.07743634,-3.567416454,4.687149302,5.417217573,-1.029363778,3.152033961,-5.317986172,3.05681315,5.361879836,5.184511807,1.380218947,4.29080997,5.510442472,12.45517764,21.08690579,8.074948246,14.30412561,12.50770522,26.13070761,16.38402436,-6.063315087,5.672021548,6.428548803,17.21619499,5.068838976,-4.257414237,-3.417795078,3.4912227,14.75718482,5.985561541,4.093140793,5.4017607,7.742645676,6.638445456,16.10271174,14.45311141,32.39778923,11.450556,14.95414026,38.9448932,13.71640679,1.027858574,11.94574864,13.14615933,18.84158948,2.845666334,8.27337152,24.21579774,10.45879485,8.561551747,8.364247586,14.29243968,7.955459176,5.30485357,21.33404254,0.96047019,11.44917292,-2.850857066,0.822247025,11.89801083
Belgium,BEL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.315468694,1.667691946,3.0257967,4.642426558,5.100712937,4.086014933,3.193430937,2.620289277,4.023826311,6.680472355,5.358217814,6.317819214,6.806986431,12.16834026,12.88972281,7.575263114,7.478059968,4.423250337,4.505241375,4.126596969,5.139196661,7.570416249,5.612850366,5.438717243,4.627742139,2.796781136,1.684110879,2.168989903,4.797457362,2.812403713,2.87662448,3.42452456,3.993231923,2.094304776,1.22076958,0.476619741,0.75762441,1.805643501,0.598897783,2.014617387,1.982802721,1.640007795,1.850088683,1.914990948,2.083074213,2.264707144,1.931721117,1.908845425,0.533179398,1.89207786,1.807299468,1.961119341,1.271258155,0.982645555,1.330386128,1.920850695,1.828301837,1.625329411,1.655468953,1.067716403
Benin,BEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.041435672,3.780561136,2.549041132,-0.363671983,2.057620458,1.136665599,0.141072431,3.273524952,3.454195522,5.04704694,1.573283774,5.317226078,4.822739942,14.9207099,14.24693576,14.03543002,5.176886815,12.33445895,13.00468583,10.18781985,7.468948266,16.14828401,4.746209742,1.953580959,-4.876981735,-3.604172582,3.02845985,-0.610506907,2.224934457,2.176596925,0.756620152,3.025134465,2.378321824,35.03011278,15.09945191,6.907293665,3.667509174,5.231604748,48.34254339,4.341055664,1.970285582,3.554213255,3.061704124,0.769711004,4.293664135,2.094317073,0.390153238,6.434152206,2.539692061,0.88088567,3.73308304,7.698908077,1.397298395,-0.247782654,0.851504261,0.683591111,-0.367891614,0.589827211,-0.317730867,2.878032289
Burkina Faso,BFA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.900608242,2.010371569,5.147524754,1.812216582,-0.656072018,2.303116945,-4.411008405,-0.263878695,6.913154193,1.783427218,3.377475325,7.296645255,2.677858966,11.01470938,8.176155974,6.725505666,18.66197634,14.5323255,7.753525513,8.694368528,13.58461938,9.046516419,5.409316963,6.501085288,0.757066706,-6.345676864,1.237323173,3.4085566,4.831620408,1.810015422,-3.967780748,0.22705962,-1.441839783,14.63896188,6.769569038,0.348705151,1.55619985,7.940316031,17.39082451,-0.819773185,3.961552917,3.056986091,1.484728815,0.09064859,3.739385397,-0.662826822,2.492349183,9.159800437,2.40550487,3.779618728,6.738004807,5.823999488,-2.129171178,-0.620386926,-2.223954179,2.604299192,1.41629728,2.03309234,-0.632603927,4.589746199
